common_name,season_name,rows,positive_locality_seasons,trials,detections,observed_detection_rate,train_prevalence_predicted_detection_rate,train_prevalence_calibration_error,availability_predicted_detection_rate,availability_calibration_error,effort_predicted_detection_rate,effort_calibration_error,combined_predicted_detection_rate,combined_calibration_error
Green Heron,winter,10,0,202,0,0.0,0.01119999960064888,0.01119999960064888,0.010066999279257685,0.010066999279257685,0.009794729637295599,0.009794729637295599,0.00911926777599988,0.00911926777599988
House Sparrow,early_breeding,7,0,97,0,0.0,0.04586666822433472,0.04586666822433472,0.0374459912328376,0.0374459912328376,0.04314370633861453,0.04314370633861453,0.034065146114408355,0.034065146114408355
House Sparrow,fall_migration,7,0,110,0,0.0,0.04586666822433472,0.04586666822433472,0.038618070699951865,0.038618070699951865,0.04301273084499619,0.04301273084499619,0.03473191952163523,0.03473191952163523
House Sparrow,late_breeding,5,1,50,1,0.02,0.04586666822433472,0.025866668224334716,0.035541255548596384,0.015541255548596384,0.0432192612439394,0.023219261243939398,0.03283019360154867,0.012830193601548672
House Sparrow,spring_migration,7,2,137,3,0.021897810218978103,0.04586666822433472,0.023968858005356614,0.03750481758348263,0.01560700736450453,0.04331674239169942,0.021418932172721318,0.03391710180707656,0.01201929158809846
House Sparrow,winter,10,2,202,2,0.009900990099009901,0.04586666822433472,0.035965678125324814,0.045219445637989755,0.03531845553897985,0.042139418201871434,0.03223842810286153,0.039651002200080616,0.029750012101070714
Northern Cardinal,early_breeding,7,6,97,75,0.7731958762886598,0.6677333116531372,0.10546256463552262,0.6704970844013175,0.10269879188734232,0.6815370106205498,0.09165886566810999,0.6822406698748008,0.09095520641385901
Northern Cardinal,fall_migration,7,6,110,69,0.6272727272727273,0.6677333116531372,0.04046058438040989,0.6245656782930548,0.002707048979672555,0.6910765469074249,0.06380381963469761,0.6356690293008631,0.008396302028135794
Northern Cardinal,late_breeding,5,4,50,34,0.68,0.6677333116531372,0.012266688346862842,0.6662356579303741,0.013764342069625957,0.6945164442062378,0.014516444206237766,0.6838232827186584,0.003823282718658394
Northern Cardinal,spring_migration,7,7,137,120,0.8759124087591241,0.6677333116531372,0.20817909710598692,0.6702884970790278,0.2056239116800963,0.6788292770838216,0.19708313167530256,0.6774708750474192,0.19844153371170492
Northern Cardinal,winter,10,10,202,105,0.5198019801980198,0.6677333116531372,0.1479313314551174,0.6322709729175756,0.1124689927195558,0.6655583355096307,0.1457563553116109,0.6198834953921857,0.10008151519416586
Red-headed Woodpecker,early_breeding,7,0,97,0,0.0,0.007466666866093874,0.007466666866093874,0.007939319659178098,0.007939319659178098,0.007351436666645033,0.007351436666645033,0.008341029430403537,0.008341029430403537
Red-headed Woodpecker,fall_migration,7,1,110,1,0.00909090909090909,0.007466666866093874,0.0016242422248152165,0.00843476400795308,0.0006561450829560105,0.006816858713599769,0.0022740503773093215,0.007534576321698048,0.0015563327692110426
Red-headed Woodpecker,late_breeding,5,0,50,0,0.0,0.007466666866093874,0.007466666866093874,0.008214945429936052,0.008214945429936052,0.00727941551245749,0.00727941551245749,0.0082530512008816,0.0082530512008816
Red-headed Woodpecker,spring_migration,7,0,137,0,0.0,0.007466666866093874,0.007466666866093874,0.0074607790141862675,0.0074607790141862675,0.0072200431243727246,0.0072200431243727246,0.007158049542021795,0.007158049542021795
Red-headed Woodpecker,winter,10,0,202,0,0.0,0.007466666866093874,0.007466666866093874,0.00737175988125624,0.00737175988125624,0.007138155414584545,0.007138155414584545,0.00729347365484158,0.00729347365484158
Wood Thrush,early_breeding,7,5,97,36,0.3711340206185567,0.08533333241939545,0.28580068819916127,0.09237285012129656,0.2787611704972601,0.08532589312988459,0.2858081274886721,0.09432536140852368,0.27680865921003306
Wood Thrush,fall_migration,7,2,110,5,0.045454545454545456,0.08533333241939545,0.03987878696484999,0.07896048250523481,0.033505937050689355,0.08797951686111363,0.04252497140656818,0.08551761311563578,0.04006306766109033
Wood Thrush,late_breeding,5,3,50,7,0.14,0.08533333241939545,0.05466666758060457,0.09316856250166893,0.04683143749833109,0.08827403992414475,0.05172596007585527,0.09945741593837738,0.04054258406162263
Wood Thrush,spring_migration,7,2,137,9,0.06569343065693431,0.08533333241939545,0.019639901762461137,0.0808660336872087,0.015172603030274387,0.08639329949217121,0.020699868835236904,0.08474130014868549,0.019047869491751176
Wood Thrush,winter,10,0,202,0,0.0,0.08533333241939545,0.08533333241939545,0.07938198918605795,0.07938198918605795,0.08366482476196667,0.08366482476196667,0.07897095743677404,0.07897095743677404
